id,name,address,d_meters,id_nearest,name_nearest,address_nearest
14967,Thousand Palms - SunLine Transit (bus),"32505 Harry Oliver Trail, Thousand Palms, CA 92276",104369.97137021426,15046,Riverside,"3044 St. Lawrence Street, Riverside, CA 92504"
14972,Cal State LA,"5151 State University Dr, Los Angeles, CA 90032",7233.572132248367,15049,South Pasadena,"1200 Fair Oaks Avenue, South Pasadena, CA 91030"
14995,Newport Beach,"1600 Jamboree Blvd, Newport Beach, CA 92660",5559.970290435565,15007,UC Irvine,"19172 Jamboree Rd, Irvine, CA 92612"
14996,Santa Monica,"1819 Cloverfield Blvd., Santa Monica, CA 90404",6113.022479325916,15846,Culver City,"11284 Venice Boulevard, Culver City, CA 90230"
14999,Fairfax-LA,"7751 Beverly Blvd., Los Angeles, CA  90036",6868.425861039107,15041,Hollywood,"5700 Hollywood Boulevard, Los Angeles, CA 90028"
15001,Rancho Palos Verdes,"28103 Hawthorne Blvd., Rancho Palos Verdes, CA 90275",13638.462351072905,15863,Wilmington,"Wilmington, CA"
15002,Santa Clarita,"24551 Lyons Ave, Santa Clarita, CA 91321",16905.41521148959,15631,Mission Hills,"15544 San Fernando Mission Boulevard, Mission Hills, CA 91345"
15003,Lawndale,"15606 Inglewood Avenue, Lawndale, CA 90260",5939.002804440103,15595,Torrance,"2051 W. 190th Street, Torrance, CA 90501"
15004,Diamond Bar,"21865 Copley Dr, Diamond Bar, CA 91765",11402.739515004141,15020,Chino,"12600 East End Ave., Chino, CA 91710"
15005,San Juan Capistrano,"26572 Junipero Serra Road, San Juan Capistrano, CA 92675",19353.161477141686,15039,Lake Forest,"20731 Lake Forest Drive, Lake Forest, CA 92630"
15006,West Sacramento,"1515 South River Road, West Sacramento, CA 95691",15025.34158737604,15486,Sacramento,"3510 Fair Oaks Boulevard, Sacramento, CA 95864"
15007,UC Irvine,"19172 Jamboree Rd, Irvine, CA 92612",5590.456899190518,14995,Newport Beach,"1600 Jamboree Blvd, Newport Beach, CA 92660"
15010,Mountain View,"830 Leong Dr, Mountain View, CA 94043",8963.16935606836,15480,Sunnyvale,"1296 Sunnyvale Saratoga Road, Sunnyvale, CA 94087"
15011,Oakland - AC Transit (bus),"1100 Seminary Ave, Bus yard, Oakland, CA 94621",8438.835102055535,15483,Oakland - Grand Ave,"350 Grand Avenue, Oakland, CA 94610"
15014,Woodland Hills,"5314 Topanga Canyon, Woodland Hills, CA 91364",17007.618276714966,15479,Sherman Oaks,"14478 Ventura Boulevard, Sherman Oaks, CA 91423"
15015,LAX,"10400 Aviation Blvd, Los Angeles, CA  90045",6091.07403160387,15042,Playa Del Rey,"8126 Lincoln Boulevard, Los Angeles, CA 90045"
15020,Chino,"12600 East End Ave., Chino, CA 91710",10511.012601483193,15865,Ontario,"Ontario, CA"
